critic_rating,is_action,is_exclusive_to_us,is_portable,is_role_playing,is_sequel,is_sports,suitable_for_kids,unit_price,total_earnings
0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.37471396
0.8333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.19242528
0.33333334,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.5,0.114851855
0.8333333,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.14245208
0.6666667,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,0.48068243
0.6666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.13972016
0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.11338792
0.8333333,0.0,0.0,1.0,1.0,1.0,0.0,1.0,1.0,0.44906747
0.5,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.061274283
0.16666667,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.2066801
0.8333333,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.47775456
0.5,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.13232657
0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.17925362
0.6666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16335742
0.5,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.23946692
0.6666667,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.31206816
0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.5,0.22852813
0.33333334,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.29274505
0.16666667,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.3480564
1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.42799208
0.6666667,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.22483133
0.8333333,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.5,0.1280235
0.16666667,0.0,1.0,0.0,1.0,1.0,0.0,1.0,1.0,0.40164506
0.6666667,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.5,0.29634202
0.8333333,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.24860908
0.8333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2892331
0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.06283433
0.5,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.5,0.29536608
0.5,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0,0.26932588
0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.5,0.10460805
0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.5,0.4651485
0.8333333,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.28864902
0.8333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.17730172
0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.1932164
0.33333334,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.24883458
0.33333334,0.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.41745254
0.6666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.27342564
0.5,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.5790429
0.5,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.29860076
0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.17740892
0.6666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.5,0.2085248
0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0136596365
0.6666667,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.2546903
1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.28747714
0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.45726326
0.6666667,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.12294043
0.8333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.43984768
0.5,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.50644535
0.16666667,1.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.2406388
0.6666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.16276963
0.6666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.27108186
0.6666667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.14089203
0.8333333,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.73536533
0.8333333,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.25351843
0.8333333,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2418107
0.6666667,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,0.3442672
0.6666667,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.15984178
